,predicted_met_type,probability,ccf_soma_location,ccf_soma_location_nolayer,ccf_soma_x,ccf_soma_y,ccf_soma_z,distance_soma_moved_out_of_brain_correction,cre_line,azimuth,altitude,auto_projection_subclass,dend_derived_predicted_subclass,dend_derived_predicted_probability,local_axon_derived_subclass,met_classifier_routing_call
182709_6984-X2452-Y12423_reg.swc,L5 ET-2,0.988,VISpm5,VISpm,8899.823,643.262,4324.473,37.416573867739416,Ai82;Ai139_375886-182709,35.21215736632139,3.519492888056115,ET,ET,0.7602194621555048,None,ET
182709_7126-X2913-Y10535_reg.swc,L5 ET-3,0.918,VISp5,VISp,9117.453,1064.075,3550.508,24.494897427831784,Ai82;Ai139_375886-182709,48.44734378948347,-0.2969909730744172,ET,ET,0.9494300442907748,None,ET
182724_5937-X3804-Y11955_reg.swc,L5 ET-2,0.724,VISa5,VISa,7168.2890000000025,953.689,3959.651,42.42640687119285,Fezf2-CreER;Ai166_405426-182724,41.86146904065375,1.6700203698682907,ET,ET,0.9281201015843208,None,ET
182724_6175-X3782-Y10859_reg.swc,L5 ET-3,0.966,VISa5,VISa,7512.552,927.64,3519.999000000001,44.7213595499958,Fezf2-CreER;Ai166_405426-182724,44.4597287001566,-10.684374654322502,ET,ET,0.9761682614362464,None,ET
182724_6354-X4834-Y8105_reg.swc,L5 ET-3,0.626,VISrl5,VISrl,7890.754,1516.527,2363.827,72.80109889280519,Fezf2-CreER;Ai166_405426-182724,17.478222284479752,5.409056837487051,ET,ET,1.0,None,ET
182724_6360-X3448-Y12540_reg.swc,L5 ET-3,0.994,VISam5,VISam,7660.996,750.794,4297.691,50.99019513592785,Fezf2-CreER;Ai166_405426-182724,41.44791884630183,-0.7409971451837846,ET,ET,1.0,None,ET
182724_6361-X3802-Y10603_reg.swc,L5 ET-3,0.964,VISa5,VISa,7749.151999999999,956.36,3444.288,54.77225575051661,Fezf2-CreER;Ai166_405426-182724,36.643828090200216,-17.59543743861344,ET,ET,0.9953448275862068,None,ET
182724_6391-X3524-Y11978_reg.swc,L5 ET-3,0.982,VISam5,VISam,7721.300999999998,811.548,4052.603,41.23105625617661,Fezf2-CreER;Ai166_405426-182724,42.44680686265422,3.90849510203616,ET,ET,1.0,None,ET
182724_6396-X3762-Y10790_reg.swc,L5 ET-2,0.59,VISam5,VISam,7783.460999999997,946.608,3533.884,53.851648071345046,Fezf2-CreER;Ai166_405426-182724,37.6092493961966,-15.348191992247678,ET,ET,1.0,None,ET
182724_6450-X3505-Y11792_reg.swc,L5 ET-3,0.98,VISam5,VISam,7809.119000000002,805.472,3986.337,31.622776601683803,Fezf2-CreER;Ai166_405426-182724,37.766669882862296,3.768171820305143,ET,ET,1.0,None,ET
182724_6457-X3810-Y19182_reg.swc,L5 ET-3,0.922,VISam5,VISam,7516.665,865.834,7173.605,0.0,Fezf2-CreER;Ai166_405426-182724,46.68926405650058,0.7537210456837548,ET,ET,0.9913595877338084,None,ET
182724_6644-X4183-Y20666_reg.swc,L5 ET-3,0.944,VISa5,VISa,7678.901,1022.238,7826.035,0.0,Fezf2-CreER;Ai166_405426-182724,42.146984610732005,-13.530367224101912,ET,ET,1.0,None,ET
182724_6690-X3748-Y10610_reg.swc,L5 ET-3,0.882,VISp5,VISp,8148.379,953.538,3507.787000000001,63.24555320336759,Fezf2-CreER;Ai166_405426-182724,32.66359825847961,-14.793074019590176,ET,ET,0.9998828887443072,None,ET
182724_7371-X5043-Y7827_reg.swc,L5 ET-3,0.996,VISp5,VISp,9129.992,1673.0929999999994,2399.425,61.64414002968977,Fezf2-CreER;Ai166_405426-182724,7.662582891252208,15.8401221202544,ET,ET,0.9811095334685598,None,ET
182724_7600-X5645-Y23085_reg.swc,L5 ET-3,0.956,VISl5,VISl,8892.898000000001,1771.3529999999994,8993.98,0.0,Fezf2-CreER;Ai166_405426-182724,7.5984303864864495,12.210853441194653,ET,ET,0.99,None,ET
182724_8055-X5917-Y23103_reg.swc,L5 ET-3,0.604,VISl5,VISl,9493.86,1954.984,9050.566,0.0,Fezf2-CreER;Ai166_405426-182724,18.202983863704286,19.305018733008733,ET,ET,0.9931210191082804,None,ET
182724_8100-X5413-Y22190_reg.swc,L5 ET-2,0.93,VISp5,VISp,9598.448,1691.075,8632.11,0.0,Fezf2-CreER;Ai166_405426-182724,29.34769761483989,22.4957733404751,ET,ET,0.9813187302901812,None,ET
182724_8150-X4450-Y19864_reg.swc,L5 ET-2,1.0,VISp5,VISp,9749.017,1190.386,7604.286999999997,0.0,Fezf2-CreER;Ai166_405426-182724,56.73946864021691,6.252818191317858,ET,ET,0.978691850173476,None,ET
182725_7341-X4593-Y22594_reg.swc,L5 ET-3,1.0,VISl5,VISl,8675.77,1906.322,9403.998,17.320508075688775,Fezf2-CreER;Ai166_405429-182725,25.892627659654,-2.276961744355721,ET,ET,1.0,None,ET
182725_7649-X3440-Y17884_reg.swc,L5 ET-3,0.712,VISp4,VISp,9343.496,867.847,7569.286,28.284271247461906,Fezf2-CreER;Ai166_405429-182725,68.9618766661624,-1.357384115545152,ET,ET,0.7607344848981475,None,ET
182725_7657-X3644-Y17105_reg.swc,L5 ET-2,1.0,VISp5,VISp,9408.151,887.789,7201.7890000000025,24.494897427831784,Fezf2-CreER;Ai166_405429-182725,59.02258583055422,-0.3302974307117645,ET,ET,0.862604734791729,None,ET
182725_7677-X7858-Y6794_reg.swc,L5 ET-3,1.0,VISpl5,VISpl,9984.318,2024.008,2583.876,31.622776601683803,Fezf2-CreER;Ai166_405429-182725,33.33172783977588,10.895287121674212,ET,ET,0.97,None,ET
18469_5853-X6133-Y22657_reg.swc,L5 ET-3,0.992,VISam5,VISam,7731.849,805.8860000000003,4138.983,0.0,Fezf2-CreER;Ai166_378667-18469,42.32884497971587,2.956132016360814,ET,ET,0.9960147601476016,None,ET
18469_5924-X6028-Y22963_reg.swc,L5 ET-3,0.874,VISam5,VISam,7811.316,774.5189999999999,4232.97,0.0,Fezf2-CreER;Ai166_378667-18469,37.01167771732051,1.179417492071488,ET,ET,0.9499354942180308,None,ET
18469_6185-X6027-Y36689_reg.swc,L5 ET-2,0.526,VISp5,VISp,8141.611,1041.388,7878.024,14.142135623730953,Fezf2-CreER;Ai166_378667-18469,32.25746287360669,-14.866905579416954,ET,ET,1.0,None,ET
18469_6590-X7059-Y41111_reg.swc,L5 ET-2,0.984,VISp5,VISp,8631.791,1582.65,8965.651,0.0,Fezf2-CreER;Ai166_378667-18469,3.3580124946702,6.685524146522273,ET,ET,0.99,None,ET
18469_6673-X5500-Y35752_reg.swc,L5 ET-3,1.0,VISp5,VISp,8842.443000000001,920.705,7583.802,0.0,Fezf2-CreER;Ai166_378667-18469,57.30127528232385,-6.739986404365383,ET,ET,0.9982119205298012,None,ET
18469_6680-X6305-Y38542_reg.swc,L5 ET-2,0.662,VISp5,VISp,8871.155999999999,1285.307,8296.349,0.0,Fezf2-CreER;Ai166_378667-18469,19.757010902739264,4.277391118793543,ET,ET,1.0,None,ET
18469_6767-X5786-Y37391_reg.swc,L5 ET-3,0.882,VISp5,VISp,8952.525,1088.1760000000004,8001.378000000002,0.0,Fezf2-CreER;Ai166_378667-18469,36.59197129156596,-0.5937128889483744,ET,ET,0.9860487804878048,None,ET
18469_6822-X8235-Y15661_reg.swc,L5 ET-2,0.988,VISl5,VISl,8923.268,1797.8010000000006,2253.073,43.588989435406745,Fezf2-CreER;Ai166_378667-18469,15.16931481124912,11.890005119253564,ET,ET,0.99,None,ET
18469_6907-X5348-Y34515_reg.swc,L5 ET-3,0.974,VISp5,VISp,9231.351,883.294,7219.118,30.0,Fezf2-CreER;Ai166_378667-18469,58.02045306968225,-1.1794399868839285,ET,ET,0.9927394957983192,None,ET
18469_6933-X5678-Y23165_reg.swc,L5 ET-2,0.812,VISpm5,VISpm,9211.031,830.3530000000003,4252.218,14.142135623730953,Fezf2-CreER;Ai166_378667-18469,53.62291051098569,-0.1872243480763496,ET,ET,0.8794703497429347,None,ET
18469_7024-X5427-Y35160_reg.swc,L5 ET-3,1.0,VISp5,VISp,9379.125,954.592,7374.316,17.320508075688775,Fezf2-CreER;Ai166_378667-18469,69.73214350733629,-0.6231796402771684,ET,ET,0.947543692777658,None,ET
18469_7048-X7499-Y17640_reg.swc,L5 ET-2,0.784,VISp5,VISp,9243.276,1576.5929999999994,2736.873,41.23105625617661,Fezf2-CreER;Ai166_378667-18469,15.769725061277946,15.767891649361824,ET,ET,0.8843005973112611,None,ET
18469_7279-X7753-Y17170_reg.swc,L5 ET-3,1.0,VISp5,VISp,9483.323,1697.565,2585.87,37.416573867739416,Fezf2-CreER;Ai166_378667-18469,18.577156874167063,20.76251834214305,ET,ET,0.99,None,ET
18868_6019-X9541-Y5296_reg.swc,L5 ET-2,0.822,VISrl5,VISrl,7534.859,1416.573,8545.344000000001,0.0,Pvalb-T2A-CreERT2;Ai166_396476-18868,26.77118379137946,-4.740443671983785,ET,ET,0.9116122513480168,None,ET
18868_6405-X11428-Y4397_reg.swc,L5 ET-2,0.51,VISp5,VISp,8050.621999999998,1086.387,7951.010999999998,0.0,Pvalb-T2A-CreERT2;Ai166_396476-18868,27.40776464929936,-16.652183754374132,ET,ET,0.9583513780010038,None,ET
191807_6402-X3434-Y19231_reg.swc,L5 ET-2,0.748,VISam5,VISam,7647.071,946.594,7541.79,31.622776601683803,Fezf2-CreER;Ai166_439168-191807,45.699542343856685,-0.960139623160378,ET,ET,0.9860487804878048,None,ET
191807_6423-X3900-Y9358_reg.swc,L5 ET-3,0.594,VISa5,VISa,7626.147,1103.735,3220.759,0.0,Fezf2-CreER;Ai166_439168-191807,28.35974687163593,-15.579799362590812,ET,ET,0.9829525591950596,None,ET
191807_6489-X5135-Y23408_reg.swc,L5 ET-3,0.984,VISal5,VISal,8021.104,1844.962,9377.861,42.42640687119285,Fezf2-CreER;Ai166_439168-191807,41.60042663692058,5.808814000393345,ET,ET,1.0,None,ET
191807_6504-X3953-Y21204_reg.swc,L5 ET-2,0.812,VISp5,VISp,7869.834,1189.6660000000004,8393.071,37.416573867739416,Fezf2-CreER;Ai166_439168-191807,10.553849126406217,-12.30342434359058,ET,ET,1.0,None,ET
191807_6625-X5034-Y23319_reg.swc,L5 ET-3,0.882,VISal5,VISal,8197.701,1743.243,9347.817,50.0,Fezf2-CreER;Ai166_439168-191807,37.544962715759134,4.7926798228508405,ET,ET,0.992230215827338,None,ET
191807_6718-X5217-Y7243_reg.swc,L5 ET-3,0.996,VISal5,VISal,8245.502,1661.016,2240.229,0.0,Fezf2-CreER;Ai166_439168-191807,22.513029895035068,6.57631144372789,ET,ET,0.99,None,ET
191807_6735-X4456-Y21792_reg.swc,L5 ET-3,0.528,VISp5,VISp,8242.3,1397.7679999999998,8636.636,37.416573867739416,Fezf2-CreER;Ai166_439168-191807,0.4131959917861078,-1.9999497606335588,ET,ET,0.9520086727198276,None,ET
191807_6796-X5727-Y6613_reg.swc,L5 ET-3,0.982,VISal5,VISal,8353.01,1908.68,1935.624,0.0,Fezf2-CreER;Ai166_439168-191807,36.85073122384082,-4.462875062469015,ET,ET,1.0,None,ET
191807_6822-X4235-Y21316_reg.swc,L5 ET-2,0.988,VISp5,VISp,8314.855,1241.996,8425.091999999999,33.166247903554,Fezf2-CreER;Ai166_439168-191807,4.9024204901618855,-3.968588408976022,ET,ET,0.9486982223506658,None,ET
191807_6909-X3717-Y18949_reg.swc,L5 ET-2,0.628,VISpm5,VISpm,8318.051,859.788,7396.717,14.142135623730953,Fezf2-CreER;Ai166_439168-191807,38.56662825935686,1.83098972808081,ET,ET,0.984757281553398,None,ET
191807_6912-X3878-Y19387_reg.swc,L5 ET-2,0.944,VISpm5,VISpm,8337.775,971.701,7576.901999999999,37.416573867739416,Fezf2-CreER;Ai166_439168-191807,45.42765808453242,-7.1022523640275805,ET,ET,0.9698942627765812,None,ET
191807_6927-X3598-Y18516_reg.swc,L5 ET-3,0.984,VISpm5,VISpm,8305.409,762.5,7215.746,20.0,Fezf2-CreER;Ai166_439168-191807,30.226062532617785,4.711968569264444,ET,ET,1.0,None,ET
191807_7017-X4048-Y11120_reg.swc,L5 ET-2,0.75,VISpm5,VISpm,8368.709,904.722,3964.364,0.0,Fezf2-CreER;Ai166_439168-191807,42.73542850662255,-0.1635326219233396,ET,ET,0.9623747891578068,None,ET
191807_7110-X4076-Y20205_reg.swc,L5 ET-3,0.602,VISp5,VISp,8611.911,1026.0,7923.163,33.166247903554,Fezf2-CreER;Ai166_439168-191807,34.82389162533954,-6.79432150283048,ET,ET,0.97,None,ET
191807_7249-X4135-Y19813_reg.swc,L5 ET-2,0.996,VISp5,VISp,8786.264000000001,992.662,7745.819,31.622776601683803,Fezf2-CreER;Ai166_439168-191807,47.077458954200615,-6.721439552921004,ET,ET,1.0,None,ET
191807_7281-X4351-Y20216_reg.swc,L5 ET-2,0.962,VISp5,VISp,8877.982,1114.516,7916.975,24.494897427831784,Fezf2-CreER;Ai166_439168-191807,38.55174570795894,-2.466843096833012,ET,ET,0.97,None,ET
191807_7289-X4771-Y9549_reg.swc,L5 ET-2,0.602,VISp5,VISp,8833.469000000001,1247.036,3270.215,0.0,Fezf2-CreER;Ai166_439168-191807,26.28085984824043,1.1288448869146577,ET,ET,0.9917081203618554,None,ET
191807_7326-X5555-Y22776_reg.swc,L5 ET-3,0.956,VISl5,VISl,9140.636,1778.7,9068.912,24.494897427831784,Fezf2-CreER;Ai166_439168-191807,12.055695257846464,16.847590456551462,ET,ET,1.0,None,ET
191807_7405-X4847-Y21105_reg.swc,L5 ET-3,0.894,VISp5,VISp,9115.779,1353.2679999999998,8306.62,17.320508075688775,Fezf2-CreER;Ai166_439168-191807,25.953810720908017,8.276240321768032,ET,ET,0.9886015831134564,None,ET
191807_7439-X5230-Y8737_reg.swc,L5 ET-2,0.56,VISp5,VISp,9085.798,1411.9070000000006,2904.1740000000004,0.0,Fezf2-CreER;Ai166_439168-191807,17.228287293831745,10.42703968958494,ET,ET,0.9969662921348316,None,ET
191807_7500-X4057-Y19214_reg.swc,L5 ET-3,0.922,VISp4,VISp,9091.705,811.309,7478.925,36.05551275463989,Fezf2-CreER;Ai166_439168-191807,62.69522956121869,-4.393648689979326,ET,ET,0.99,None,ET
191807_7529-X5296-Y9002_reg.swc,L5 ET-3,0.64,VISp5,VISp,9212.304,1406.92,3033.8,0.0,Fezf2-CreER;Ai166_439168-191807,26.26531957484613,10.989525222111746,ET,ET,0.9896510370518232,None,ET
191807_7712-X5701-Y8560_reg.swc,L5 ET-2,0.654,VISp5,VISp,9421.983,1563.5839999999994,2782.073,0.0,Fezf2-CreER;Ai166_439168-191807,23.56644818900978,18.46016332527673,ET,ET,1.0,None,ET
191807_7779-X4433-Y18625_reg.swc,L5 ET-3,0.92,VISp4,VISp,9503.385,864.301,7181.676,41.23105625617661,Fezf2-CreER;Ai166_439168-191807,59.59713530875016,-0.4781872590787357,ET,ET,0.9687507372565184,None,ET
191807_7802-X7356-Y7036_reg.swc,L5 ET-3,1.0,VISpor5,VISpor,9685.003,2391.11,2042.601,17.320508075688775,Fezf2-CreER;Ai166_439168-191807,30.94303031954354,10.990352322169466,ET,ET,1.0,None,ET
191807_7954-X5660-Y20932_reg.swc,L5 ET-3,0.578,VISp5,VISp,9895.399,1565.543,8206.189,22.36067977499789,Fezf2-CreER;Ai166_439168-191807,46.27206986720974,14.069596635079556,ET,ET,0.9626908310423072,None,ET
191807_7964-X7019-Y7647_reg.swc,L5 ET-3,0.908,VISpl5,VISpl,9810.02,2146.909,2298.535,17.320508075688775,Fezf2-CreER;Ai166_439168-191807,26.13771755335257,10.561658624722062,ET,ET,0.8390037098377686,None,ET
191807_7971-X7500-Y7211_reg.swc,L5 ET-3,1.0,VISpl5,VISpl,9851.293,2396.399,2099.718,22.36067977499789,Fezf2-CreER;Ai166_439168-191807,33.82334622611667,3.928657780972188,ET,ET,0.9718490566037736,None,ET
191807_7985-X5473-Y10063_reg.swc,L5 ET-2,0.946,VISp5,VISp,9722.543,1288.5410000000004,3473.915,10.0,Fezf2-CreER;Ai166_439168-191807,57.40077321545597,12.16328570002496,ET,ET,0.8027080090953277,None,ET
194069_6614-X3338-Y19996_reg.swc,L5 ET-2,0.916,VISam5,VISam,7792.996999999998,1013.929,7732.183000000001,0.0,Fezf2-CreER;Ai166_455391-194069,37.8494862641731,-11.81650334532655,ET,ET,0.9569662921348316,None,ET
194069_6771-X4023-Y23667_reg.swc,L5 ET-3,0.722,VISal5,VISal,7992.894,1786.669,9253.204,0.0,Fezf2-CreER;Ai166_455391-194069,34.874008919837806,8.056723159126461,ET,ET,0.9847645839676044,None,ET
194069_7189-X5459-Y8724_reg.swc,L5 ET-2,0.944,VISp5,VISp,8831.455,1436.132,2803.568,17.320508075688775,Fezf2-CreER;Ai166_455391-194069,6.411579806946311,7.68835096308188,ET,ET,1.0,None,ET
194069_7216-X3715-Y22464_reg.swc,L5 ET-2,0.88,VISp6a,VISp,8538.248,1637.9589999999994,8752.509,0.0,Fezf2-CreER;Ai166_455391-194069,-0.1979159748631394,5.102745714263801,ET,ET,0.6623726961072094,None,ET
194069_7313-X3495-Y20668_reg.swc,L5 ET-2,0.896,VISp6a,VISp,8629.485999999999,1340.335,8021.846,0.0,Fezf2-CreER;Ai166_455391-194069,24.834955697861712,-2.171596903577428,ET,ET,0.8021350226887138,None,ET
194069_7382-X3692-Y22255_reg.swc,L5 ET-2,0.538,VISp5,VISp,8738.645,1616.034,8672.565999999999,0.0,Fezf2-CreER;Ai166_455391-194069,1.2418757695232023,7.973017755141805,ET,ET,0.9096600337373484,None,ET
194069_7408-X5410-Y9170_reg.swc,L5 ET-2,0.87,VISp5,VISp,9080.715,1433.095,3008.959000000001,24.494897427831784,Fezf2-CreER;Ai166_455391-194069,21.15049568892024,9.266324367757472,ET,ET,0.9791965079621696,None,ET
194069_7541-X6312-Y7823_reg.swc,L5 ET-2,0.658,VISp5,VISp,9303.768,1842.224,2370.397,17.320508075688775,Fezf2-CreER;Ai166_455391-194069,13.693925117296155,19.41642298145313,ET,ET,1.0,None,ET
194069_7724-X4289-Y23661_reg.swc,L5 ET-3,0.722,VISl5,VISl,9151.624,2060.447,9253.272,0.0,Fezf2-CreER;Ai166_455391-194069,31.88167982358848,15.46028033344488,ET,ET,1.0,None,ET
194069_7890-X3746-Y21746_reg.swc,L5 ET-2,0.806,VISp5,VISp,9373.279,1557.115,8482.771,0.0,Fezf2-CreER;Ai166_455391-194069,27.094948920379817,16.825625687448003,ET,ET,1.0,None,ET
194069_7949-X5085-Y10196_reg.swc,L5 ET-3,0.976,VISp5,VISp,9771.997,1254.909,3525.114,22.36067977499789,Fezf2-CreER;Ai166_455391-194069,57.50140837325124,11.333542827120407,ET,ET,1.0,None,ET
194069_8027-X4187-Y22761_reg.swc,L5 ET-3,0.518,VISp5,VISp,9512.728,1901.629,8899.271,0.0,Fezf2-CreER;Ai166_455391-194069,17.876568149670007,21.59115183388131,ET,ET,0.9735147058823528,None,ET
194069_8063-X5880-Y9133_reg.swc,L5 ET-2,1.0,VISp5,VISp,9933.971,1668.795,3011.436,14.142135623730953,Fezf2-CreER;Ai166_455391-194069,42.191241689601625,15.782336166827683,ET,ET,0.8817822074298713,None,ET
194069_8220-X4330-Y22689_reg.swc,L5 ET-3,0.98,VISp5,VISp,9733.056,1967.745,8873.22,0.0,Fezf2-CreER;Ai166_455391-194069,24.924338138492868,18.863086697433104,ET,ET,1.0,None,ET
194069_8231-X4410-Y22897_reg.swc,L5 ET-3,0.59,VISp5,VISp,9739.928,2029.189,8961.738000000001,0.0,Fezf2-CreER;Ai166_455391-194069,23.757871928694826,16.00568970231814,ET,ET,0.99,None,ET
211541_5773-X16604-Y16219_reg.swc,L5 ET-2,0.884,VISa5,VISa,6932.9230000000025,1014.952,7246.842,0.0,Gpr139-IRES2-FlpO-WPRE_577267-211541 AiP1046+C-GFP RO),36.99778055599932,0.7203408916422831,ET,ET,0.7049985189648847,None,ET
211541_7083-X17997-Y16517_reg.swc,L5 ET-2,0.554,VISp5,VISp,8761.082,1203.302,7987.213000000002,0.0,Gpr139-IRES2-FlpO-WPRE_577267-211541 AiP1046+C-GFP RO),31.427762517767363,-2.085672139197479,ET,ET,1.0,None,ET
211541_7381-X7249-Y16155_reg.swc,L5 ET-2,0.554,VISp5,VISp,9560.656,1468.289,3024.23,0.0,Gpr139-IRES2-FlpO-WPRE_577267-211541 AiP1046+C-GFP RO),38.7014617201654,17.993092106582527,ET,ET,0.99,None,ET
211541_8004-X20499-Y15083_reg.swc,L5 ET-3,0.784,VISpl5,VISpl,9760.966,2192.188,9073.241,0.0,Gpr139-IRES2-FlpO-WPRE_577267-211541 AiP1046+C-GFP RO),30.086052741418595,10.616902254748604,ET,ET,0.9401851641485856,None,ET
211550_6674-X20158-Y16621_reg.swc,L5 ET-2,0.674,VISp5,VISp,8061.52,1352.11,8452.704,0.0,Chrna6-IRES2-FlpO-WPRE-neo_581039-211550 (F-GFP stereotaxic injection),3.067914447512245,-7.657337115044537,ET,ET,0.9640908446528884,None,ET
211550_6721-X20655-Y16337_reg.swc,L5 ET-2,0.628,VISp5,VISp,8141.211999999998,1449.0839999999994,8680.714,0.0,Chrna6-IRES2-FlpO-WPRE-neo_581039-211550 (F-GFP stereotaxic injection),3.053911558262191,-2.2373760639775018,ET,ET,0.9266467521381264,None,ET
182709_6204-X2976-Y9977_reg.swc,L5 ET-1 Chrna6,0.646,VISp5,VISp,7968.953,1039.191,3232.77,22.36067977499789,Ai82;Ai139_375886-182709,18.0788609919456,-16.85111626347676,ET,CT,0.3375139302161695,ET,ET
182709_7144-X3121-Y9346_reg.swc,L5 ET-1 Chrna6,0.872,VISp4,VISp,9179.982,1259.032,3034.112,24.494897427831784,Ai82;Ai139_375886-182709,25.976650998592973,8.773711189199673,ET,ET,0.9287228624416896,None,ET
