,met_type
1039273993,L6b
823218199,L5 ET-3
893366298,L6 IT-1
922742835,L6 IT-2
992219189,L4/L5 IT
763994181,L6 IT-2
1010970692,L6b
912289883,L2/3 IT
899711102,L4/L5 IT
642777215,L4 IT
646836355,L6 IT-3
1036259470,L6b
965591192,L6 IT-3
914432180,L6b
764477652,L4/L5 IT
908894436,L6 CT-1
989163765,L5 ET-1 Chrna6
640106757,L4 IT
970080520,L5 NP
1010692386,L6b
853618984,L6 CT-1
990548306,L6 IT-2
853692765,L6 CT-2
950034792,L2/3 IT
908669318,L5 ET-3
998064533,L5 ET-3
893354404,L6b
819950000,L4/L5 IT
919699890,L2/3 IT
699818438,L6 CT-1
973832650,L5/L6 IT Car3
841871826,L4/L5 IT
969200089,L6 IT-1
962105846,L6 IT-2
1036186120,L6b
965771797,L6 CT-2
962261526,L2/3 IT
961114647,L5 NP
645354028,L4/L5 IT
914354735,L5 ET-3
841888315,L5 ET-2
645530172,L4 IT
947139142,L6 IT-1
681931335,L5 IT-1
921637459,L6 IT-2
927797864,L6 CT-1
698675821,L5 NP
1000612469,L5/L6 IT Car3
896053888,L6 IT-2
903864968,L6 CT-1
681636493,L5 ET-3
739840659,L2/3 IT
847876759,L2/3 IT
644821657,L5 ET-3
845402780,L5 ET-2
863515305,L6 CT-2
893371082,L6 CT-1
989479628,L5/L6 IT Car3
716309237,L6 CT-2
954032889,L2/3 IT
902255361,L5 IT-1
863478540,L6 CT-2
904725260,L6 CT-1
986895113,L6b
681419547,L5 IT-1
984056604,L6b
820060969,L6 IT-1
639910703,L4 IT
990229295,L5 ET-3
833872706,L5 ET-2
823083861,L5 ET-3
896619350,L6 IT-1
947344218,L2/3 IT
851542876,L6 CT-1
681939807,L4/L5 IT
902140767,L6 CT-1
646177634,L5 NP
705839974,L2/3 IT
901440363,L5 ET-3
837673842,L6 IT-2
1035989877,L6b
910287738,L6 CT-1
698676093,L5 NP
827638657,L5 ET-1 Chrna6
925242241,L2/3 IT
612410245,L4/L5 IT
948302732,L5 ET-2
963019667,L2/3 IT
650331035,L6b
603902877,L4/L5 IT
681554845,L4/L5 IT
740410280,L6 IT-3
863404974,L6 CT-1
829305793,L5 ET-1 Chrna6
948126701,L4 IT
990213121,L5 ET-3
1000625161,L5/L6 IT Car3
698700813,L6 IT-2
910287886,L6 CT-2
941552661,L6 CT-1
880772136,L5 ET-3
652960852,L5 ET-3
740373591,L2/3 IT
989369441,L6b
889271408,L2/3 IT
947496055,L2/3 IT
695440507,L5 ET-3
983975050,L6b
948429967,L4 IT
990606480,L6 IT-2
644818070,L5 IT-1
902284440,L6 CT-1
673387671,L5 IT-1
698668188,L5 NP
864068767,L6 CT-1
901424290,L4/L5 IT
970683578,L6 IT-2
792687812,L4 IT
680973517,L4 IT
914412754,L2/3 IT
959190247,L5 NP
643798256,L4 IT
863483123,L6b
948360440,L5 ET-2
973792505,L5/L6 IT Car3
603337985,L4 IT
640111874,L4 IT
904832267,L2/3 IT
961238285,L5 NP
945796367,L5 ET-3
612402470,L4/L5 IT
992408868,L5 IT-1
989164849,L5/L6 IT Car3
916620597,L5 ET-3
952669499,L2/3 IT
961238333,L5 IT-3 Pld5
736499017,L6 IT-2
887207252,L4/L5 IT
912868696,L2/3 IT
914265453,L6b
717313398,L4 IT
644953476,L6 CT-1
645834123,L5 IT-2
913716620,L5 ET-1 Chrna6
603481505,L5 ET-3
992441763,L6 IT-2
695424422,L5 ET-2
919979431,L6 IT-2
716596648,L4/L5 IT
916473265,L5 ET-3
1034933680,L6b
642999751,L5 ET-2
950265290,L5 ET-1 Chrna6
919102928,L2/3 IT
913765840,L5 IT-2
961226203,L5 NP
851580386,L6 CT-1
697525735,L6 IT-2
922613228,L2/3 IT
917624301,L6 IT-2
945063428,L5 ET-3
1043809804,L6b
702023186,L5 ET-1 Chrna6
982582806,L6b
863450651,L6 CT-1
645453340,L4/L5 IT
954066469,L2/3 IT
645379626,L5 NP
1010677295,L6b
640026162,L6 IT-3
961230415,L5 NP
945833568,L5 IT-1
912889454,L2/3 IT
891594369,L2/3 IT
912340608,L2/3 IT
741213831,L6 IT-2
898881170,L2/3 IT
912918179,L2/3 IT
940783281,L5 ET-3
897009330,L5 ET-2
661513942,L6 IT-1
903853784,L6 CT-2
829298408,L5 ET-1 Chrna6
610440978,L6b
811341605,L6 CT-1
904935208,L6 CT-1
907429679,L5 ET-3
733620016,L6b
1006380866,L6b
637380444,L5 ET-3
882763615,L5 ET-3
906532711,L5 IT-2
724539260,L6 CT-1
942307202,L6 CT-1
656721795,L4/L5 IT
1010976652,L6b
942421907,L6 CT-1
716793760,L6 IT-3
917657507,L6 IT-3
605493156,L5 ET-3
645453746,L4/L5 IT
652789704,L4/L5 IT
863418322,L6 CT-1
645363692,L5 ET-3
886474771,L6 CT-1
645834778,L5 ET-1 Chrna6
644933664,L2/3 IT
661481525,L2/3 IT
882198617,L6 IT-2
970078299,L6b
825436260,L4/L5 IT
645449840,L5 ET-2
640006296,L2/3 IT
847902873,L4/L5 IT
966473885,L6 CT-1
742717602,L6 CT-2
965535967,L6 IT-1
934844641,L6 IT-1
712153315,L5 NP
644827374,L5 ET-2
919091442,L6 IT-2
653195521,L6 CT-1
915441937,L6 IT-2
681400617,L5 ET-2
904948028,L6 CT-1
893401406,L5 IT-2
1035970888,L6b
697538916,L6 IT-2
681912683,L5 ET-3
891558275,L6 IT-2
652544407,L5 ET-2
908675487,L6 IT-1
975325599,L5/L6 IT Car3
910375338,L2/3 IT
961104301,L5 NP
971708843,L6 IT-1
916490671,L6 IT-3
908855729,L6 CT-1
895740352,L5 ET-3
827873742,L5 ET-3
826780116,L5 ET-1 Chrna6
741206508,L6 IT-1
904690163,L6 CT-2
880871943,L5 ET-2
1006389773,L6b
1039243792,L6b
825002523,L4 IT
828885535,L5 ET-1 Chrna6
610400799,L6b
975477315,L5/L6 IT Car3
912329296,L6 IT-2
926866005,L2/3 IT
917588572,L6 IT-2
982542941,L6b
604527243,L4/L5 IT
904862358,L2/3 IT
827968165,L5 ET-3
992021164,L5 ET-3
971586225,L5 IT-2
644864693,L5 IT-1
637414095,L4/L5 IT
895580896,L5 ET-3
990350059,L5 ET-2
673643261,L5 IT-1
990354179,L5 ET-3
681937682,L4/L5 IT
973384481,L5 ET-1 Chrna6
740305711,L6 IT-2
895548208,L5 IT-2
977029946,L6b
742734652,L5 ET-3
681405248,L5 ET-3
895740736,L2/3 IT
867650384,L2/3 IT
644836206,L5 ET-3
971647853,L5 IT-3 Pld5
823024502,L5 ET-3
961846146,L6 CT-2
985869192,L6 CT-2
638806925,L5 IT-1
904731534,L6 CT-1
1000110992,L5/L6 IT Car3
984034203,L6b
712145820,L5 NP
645807027,L5 ET-3
701074357,L5 NP
935046071,L2/3 IT
824990654,L4 IT
895609799,L2/3 IT
651041745,L4/L5 IT
701074400,L5 NP
962821095,L2/3 IT
915479566,L2/3 IT
811375643,L6 CT-1
898559010,L2/3 IT
841882659,L6 IT-2
932678695,L6 CT-1
680954928,L2/3 IT
642763833,L4/L5 IT
988957754,L6b
839584863,L6b
765881445,L6 IT-1
841817193,L6 CT-1
912063608,L6 CT-1
828894369,L5 ET-1 Chrna6
927833265,L2/3 IT
914250949,L6 CT-2
826830025,L5 ET-1 Chrna6
644832461,L6 IT-2
645913812,L5 ET-3
992394456,L4/L5 IT
824937690,L2/3 IT
971517180,L6 IT-2
948366592,L6 IT-2
1036061965,L6b
639827216,L5 IT-1
982658324,L6b
978607419,L6b
983928133,L6b
966819173,L5 IT-3 Pld5
603229579,L5 ET-2
907337101,L6 CT-2
841866643,L5 ET-2
648093076,L4/L5 IT
764497316,L6b
989502887,L5/L6 IT Car3
794963377,L6 IT-1
828890584,L5 ET-2
811355609,L6 CT-2
902000094,L6 CT-1
966819294,L6 IT-1
912301547,L2/3 IT
963063283,L2/3 IT
841854478,L5 ET-3
698658322,L5 NP
681639459,L5 ET-3
929533489,L2/3 IT
936001075,L2/3 IT
971546167,L5 ET-1 Chrna6
907460164,L6 CT-1
975429194,L5 ET-2
652959315,L4/L5 IT
740318831,L6 IT-1
711573106,L4/L5 IT
907357811,L6 CT-1
604098167,L5 ET-3
827903615,L5 ET-3
701075085,L6 IT-2
884596365,L6 IT-1
601628311,L5 IT-2
970079895,L6b
922562221,L6 IT-1
903814839,L6 CT-1
850968263,L5 IT-2
989351643,L6b
1039503078,L6b
935214823,L6 CT-1
975392497,L5/L6 IT Car3
899424012,L6 IT-1
899452696,L5 IT-2
899583778,L2/3 IT
972447551,L6 IT-1
824909637,L2/3 IT
903831367,L6 CT-2
908894026,L6 CT-1
983936858,L5 NP
929406809,L6 CT-2
962355052,L2/3 IT
742023028,L6 IT-1
1010970495,L6 CT-2
924610453,L2/3 IT
950075297,L2/3 IT
948318130,L6 IT-2
969301940,L6 IT-1
829296573,L5 ET-1 Chrna6
990236615,L5 ET-3
958619600,L5 NP
864030679,L6 CT-2
706461666,L2/3 IT
826765287,L5 ET-1 Chrna6
628756464,L4/L5 IT
643002356,L5 ET-2
902029302,L6 CT-1
831254527,L6 CT-1
