"","PC1","PC2","PC3"
"LS-14692_S20_E1-50",7.25718222713185,-19.8721223504699,1.80368481482503
"LS-15003_S55_E1-50",-0.421280308231356,-11.6086862318238,7.84582560509064
"LS-15004_S73_E1-50",-31.0638568479813,29.4796823572538,34.5150805118185
"LS-15011_S53_E1-50",8.50277798470068,6.76994190444008,-5.06636608670709
"LS-15015_S90_E1-50",18.0589168392336,-9.01064468705865,5.40663856172185
"LS-15025_S65_E1-50",-14.9969362026399,-19.5054324095808,13.2676342844117
"LS-15025_S82_E1-50",-2.12477493165272,-26.1734754844159,5.04964698921461
"LS-15025_S93_E1-50",10.7187950661171,3.227416372246,2.77561035983869
"LS-15042_S15_E1-50",6.93874834832342,3.2670876664276,-5.07479541546315
"LS-15042_S50_E1-50",-19.5258435966646,-4.27325981012145,4.02039707392416
"LS-15048_S12_E1-50",-13.2936370043269,-3.3614627664637,2.40263231794801
"LS-15059_S05_E1-50",4.58788929031101,-4.99246460409713,6.99253770742018
"LS-15059_S24_E1-50",13.1413549675733,9.63457655016154,-3.4612047791585
"LS-15059_S25_E1-50",14.495972792549,-16.5387959790421,4.98059074174508
"LS-15061_S23_E1-50",11.1467078918868,13.321156947544,9.06334379095224
"LS-15062_S02_E1-50",7.20799337925887,8.64792504464769,7.06964036296266
"LS-15086_S92_E1-50",8.07393408392387,5.59396703837724,4.86114571466307
"LS-15090_S20_E1-50",1.59603310767733,2.66247875593096,-8.6104037832163
"LS-15090_S84_E1-50",9.48482476366804,14.2644932541296,5.7469511805499
"LS-15368_S81_E1-50",8.8466324162737,11.9338993633189,7.45781988629727
"LS-15371_S42_E1-50",6.99002329164563,-5.66459697212451,8.64614556417821
"LS-15371_S59_E1-50",11.6834500968663,-3.77348364505792,12.1773538364404
"LS-15374_S27_E1-50",2.49638926512196,6.05085040701838,2.93670715218852
"LS-15374_S38_E1-50",14.521163429985,-0.381700684912029,11.607251178976
"LS-15375_S09_E1-50",11.876134877683,1.85639561909467,9.16489084292629
"LS-15375_S79_E1-50",4.35985323955683,5.43960127305898,1.73590505695589
"LS-15921_S81_E1-50",8.6826445428249,2.5474522172422,-9.6503480424532
"LS-15933_S59_E1-50",-2.52647848406725,-3.35191123190768,-6.27396944148336
"LS-15933_S69_E1-50",0.907184663888167,8.17089565275402,-5.603125181249
"SM-D9CZ2_S95_E1-50",8.11274032365789,7.9444218202971,8.10891589836043
"SM-D9CZ6_S25_E1-50",7.22139246705744,16.5017074901705,4.1153996677906
"SM-D9CZF_S02_E1-50",-16.3862809451474,-4.30148968979247,-0.519183718959551
"SM-D9CZF_S54_E1-50",15.6279109220653,-0.449191591936123,12.0434200651876
"SM-D9CZF_S71_E1-50",14.794873223754,-11.4996871049648,7.45398116220555
"SM-D9CZM_S81_E1-50",-7.17615938734517,-1.73827192570507,-1.62556993529014
"SM-D9E4J_S69_E1-50",13.2555319491741,9.97893025075878,10.9659918403596
"SM-DD45I_S036_E1-50",15.6997978431847,-9.05513348521556,9.8562092592668
"SM-GE63U_S161_E1-50",-1.98398050784585,-2.19059604314237,-10.6328126720883
"SM-GE63U_S162_E1-50",-1.69443372516748,12.3954448826933,-7.70528713687518
"SM-GE63U_S163_E1-50",9.54095378335014,5.66557441541814,-13.9029581496886
"SM-GE63U_S164_E1-50",-3.96121003073739,-2.17499103167563,-10.4508753223742
"SM-GE63U_S165_E1-50",1.52281429783604,9.65712539949591,17.732452786082
"SM-GE63U_S166_E1-50",-16.7666168407218,-16.3745137047693,8.17940115481741
"SM-GE63U_S167_E1-50",3.141231723702,-1.63222553707723,7.26601415055559
"SM-GE63U_S168_E1-50",0.791460719455118,2.61949248936449,-11.317013806398
"SM-GE63U_S169_E1-50",6.25521122210656,-19.5049328379317,-4.0197790400331
"SM-GE63U_S170_E1-50",4.39188775041518,4.95543806431613,-9.18475933353765
"SM-GE63U_S171_E1-50",1.86408162103631,5.09247152588547,-7.76108354573304
"SM-GE63U_S172_E1-50",0.414128442246745,-14.5915558077379,-3.11724375136225
"SM-GE63U_S173_E1-50",14.2229065818365,8.09159898193429,2.32546004278384
"SM-GE63U_S174_E1-50",10.7433309167242,-0.751384608666908,-0.795308422676033
"SM-GE63U_S175_E1-50",-20.138017206479,-5.88174187149518,2.48358505453823
"SM-GE63U_S176_E1-50",3.15612905356792,-10.5118001555823,-4.49337402954235
"SM-GE63U_S177_E1-50",3.53147661187576,3.00158470660257,-17.8839729494859
"SM-GE63V_S049_E1-50",-11.0125928902936,-19.753379664846,3.82239166707429
"SM-GE63V_S050_E1-50",-15.5756984838721,6.48025048576575,-3.28915741485266
"SM-GE63V_S051_E1-50",5.92130831335562,-10.0713434762567,-6.50219059452164
"SM-GE63V_S052_E1-50",-2.75359117013551,2.53754599289469,-10.4414035459924
"SM-GE63V_S053_E1-50",-18.6089832744503,-1.87369180077946,-4.10821940296854
"SM-GE63V_S054_E1-50",-8.06705887036292,-3.04415283842103,-9.7262225852454
"SM-GE63V_S055_E1-50",-8.61732693398158,1.45728538076115,-8.39220958244835
"SM-GE63V_S056_E1-50",-20.5900530245278,-19.9287183442133,11.6130339342108
"SM-GE63V_S057_E1-50",0.56801965841889,3.36621812726036,-12.0711141419362
"SM-GE63V_S058_E1-50",-21.8737197882997,6.35738809331371,-6.92145636863928
"SM-GE63V_S059_E1-50",-25.7150670247458,16.934589463658,7.51829197870102
"SM-GE63V_S060_E1-50",-8.31532775573522,-3.41206156820253,-12.5401118061653
"SM-GE63V_S061_E1-50",-5.23528466279128,6.8196661097691,-4.4375226857517
"SM-GE63V_S062_E1-50",3.70354555984518,2.29666535561948,-12.4375064197604
"SM-GE63V_S063_E1-50",-4.47780413365649,4.86888444656338,-11.4741461269289
"SM-GE63V_S065_E1-50",-12.8230716014185,3.8036284456399,-1.30437100403798
"SM-GE63V_S066_E1-50",5.67089556666537,-4.46325479849799,-6.72004552793429
"SM-GE63V_S067_E1-50",-20.9339642679283,2.10851168936493,-2.88183081430266
"SM-GE63V_S068_E1-50",-8.959095142791,9.60658161134416,-12.0906672214839
"SM-GE63V_S069_E1-50",3.89190992646693,6.3033290914482,-10.5243724102386
