specimen_id,surface_ccf_x,surface_ccf_y,surface_ccf_z
17109_6201-X4328-Y6753_reg.swc,9230,1370,2020
17109_6301-X4756-Y24516_reg.swc,8310,850,2470
17109_6601-X4384-Y7436_reg.swc,8660,1470,1700
17109_6601-X5417-Y25287_reg.swc,8820,1140,2130
17109_6901-X7203-Y26714_reg.swc,9190,1900,1520
17109_7001-X5738-Y6470_reg.swc,9660,2010,1650
17109_7001-X6205-Y5194_reg.swc,9620,2420,1290
17300_5969-X27278-Y20820_reg.swc,7770,400,3540
17543_6014-X3691-Y17288_reg.swc,9310,810,2920
17781_6262-X6896-Y13574_reg.swc,7870,1250,1870
17781_6866-X8954-Y41812_reg.swc,8710,1680,1520
17787_7070-X12739-Y1410_reg.swc,8550,330,3880
182709_6172-X3564-Y6968_reg.swc,8010,1300,1800
182709_6204-X2976-Y9977_reg.swc,7960,560,3050
182709_6592-X3030-Y10077_reg.swc,8490,570,3090
182709_6812-X3137-Y8659_reg.swc,8850,900,2500
182709_6886-X3406-Y21258_reg.swc,8570,510,3270
182709_6984-X2452-Y12423_reg.swc,9010,330,4330
182709_7010-X2644-Y10852_reg.swc,9060,490,3540
182709_7120-X2261-Y10934_reg.swc,9140,470,3640
182709_7126-X2913-Y10535_reg.swc,9290,590,3400
182709_7144-X3121-Y9346_reg.swc,9320,850,2840
182709_7463-X3586-Y20695_reg.swc,9530,630,3530
182709_7486-X4577-Y22503_reg.swc,9480,1070,2580
182709_7886-X5075-Y22541_2_reg.swc,10170,1500,2570
182709_7918-X5201-Y22656_reg.swc,10200,1590,2520
182724_5937-X3804-Y11955_reg.swc,7060,400,3820
182724_6175-X3782-Y10859_reg.swc,7460,480,3370
182724_6305-X3647-Y18869_reg.swc,7260,280,4320
182724_6354-X4834-Y8105_reg.swc,7870,1100,2070
182724_6360-X3448-Y12540_reg.swc,7620,260,4210
182724_6361-X3802-Y10603_reg.swc,7720,490,3280
182724_6391-X3524-Y11978_reg.swc,7690,310,3950
182724_6396-X3762-Y10790_reg.swc,7760,460,3380
182724_6416-X3689-Y10398_reg.swc,7810,510,3230
182724_6450-X3505-Y11792_reg.swc,7780,310,3870
182724_6457-X3810-Y19182_reg.swc,7440,290,4130
182724_6644-X4183-Y20666_reg.swc,7630,460,3400
182724_6690-X3748-Y10610_reg.swc,8160,470,3340
182724_6704-X3301-Y12214_reg.swc,8110,260,4130
182724_7371-X5043-Y7827_reg.swc,9280,1310,2110
182724_7600-X5645-Y23085_reg.swc,9070,1290,2030
182724_7822-X5447-Y22786_reg.swc,9390,1270,2230
182724_7871-X4578-Y21040_reg.swc,9550,790,3140
182724_8055-X5917-Y23103_reg.swc,9720,1620,2060
182724_8100-X5413-Y22190_reg.swc,9880,1320,2520
182724_8150-X4450-Y19864_reg.swc,10080,1040,3910
182724_8155-X4575-Y20238_reg.swc,10110,1070,3700
182724_8159-X4833-Y21213_reg.swc,10010,1060,3100
182724_8257-X5319-Y21978_reg.swc,10130,1380,2680
182724_8281-X5491-Y21925_reg.swc,10240,1500,2740
182725_6819-X6109-Y7853_reg.swc,8870,710,2890
182725_7341-X4593-Y22594_reg.swc,8770,1550,1660
182725_7482-X7429-Y6760_reg.swc,9970,1490,2370
182725_7649-X3440-Y17884_reg.swc,9510,550,3820
182725_7657-X3644-Y17105_reg.swc,9680,610,4320
182725_7677-X7858-Y6794_reg.swc,10320,1880,2480
182725_7714-X7032-Y7882_reg.swc,10320,1650,3170
182725_7762-X3772-Y19585_reg.swc,9550,870,2990
182725_7988-X4540-Y20706_reg.swc,10050,1450,2490
182725_8028-X4256-Y19926_reg.swc,10160,1280,2910
18452_7249-X11408-Y2071_reg.swc,9490,680,3350
18453_5667-X25695-Y3103_reg.swc,7520,360,3780
18453_5701-X28505-Y4297_reg.swc,7670,710,2730
18453_5766-X31719-Y6139_reg.swc,7860,1460,1610
18453_5941-X24629-Y3152_reg.swc,7880,260,4150
18453_5995-X24812-Y3143_reg.swc,7980,260,4080
18453_6035-X24820-Y3039_reg.swc,8050,260,4110
18453_6181-X10238-Y3690_reg.swc,7670,920,2350
18453_6316-X30559-Y4743_reg.swc,8580,1070,2160
18453_6477-X30376-Y5078_reg.swc,8810,1120,2150
18453_6479-X9010-Y4330_reg.swc,8010,1210,1910
18453_6537-X8725-Y4484_reg.swc,8080,1300,1800
18453_6561-X9442-Y3817_reg.swc,8180,1090,2080
18453_6604-X9161-Y4006_reg.swc,8230,1170,1980
18453_6675-X10576-Y3102_reg.swc,8410,850,2480
18453_6675-X8876-Y4461_reg.swc,8280,1290,1830
18453_6748-X28152-Y3578_reg.swc,9120,690,3050
18453_6846-X11548-Y2831_reg.swc,8710,730,2790
18453_7007-X11486-Y3611_reg.swc,8990,840,2680
18453_7010-X8769-Y4509_reg.swc,8770,1390,1820
18453_7024-X9012-Y4138_reg.swc,8820,1290,1940
18453_7112-X9089-Y4667_reg.swc,8960,1390,1880
18453_7132-X11495-Y3152_reg.swc,9140,840,2750
18453_7132-X31679-Y7308_reg.swc,9720,2020,1680
18453_7146-X8788-Y4552_reg.swc,8980,1440,1830
18453_7188-X11060-Y3637_reg.swc,9220,970,2560
18453_7223-X30215-Y5120_reg.swc,9750,1350,2370
18453_7245-X12979-Y2864_reg.swc,9410,700,3240
18453_7304-X11719-Y3749_reg.swc,9470,950,2770
18461_6043-X11080-Y1667_reg.swc,6850,340,4220
18461_7132-X6338-Y3287_reg.swc,8240,1180,1950
18469_5755-X6174-Y22049_reg.swc,7480,340,3870
18469_5853-X6133-Y22657_reg.swc,7700,280,4030
18469_5924-X6028-Y22963_reg.swc,7780,260,4140
18469_6120-X7370-Y17612_reg.swc,7910,830,2470
18469_6185-X6027-Y36689_reg.swc,8170,470,3340
18469_6420-X7388-Y41840_2_reg.swc,8440,1250,1900
18469_6572-X5325-Y34608_reg.swc,8810,320,4080
18469_6590-X7059-Y41111_reg.swc,8730,1130,2110
18469_6673-X5500-Y35752_reg.swc,8970,420,3700
18469_6680-X6305-Y38542_reg.swc,9010,760,2860
18469_6767-X5786-Y37391_reg.swc,9080,610,3220
18469_6822-X8235-Y15661_reg.swc,9070,1410,1910
18469_6907-X5348-Y34515_reg.swc,9540,530,4310
18469_6933-X5678-Y23165_reg.swc,9490,500,4350
18469_7024-X5427-Y35160_reg.swc,9690,610,4130
18469_7048-X7499-Y17640_reg.swc,9450,1140,2450
18469_7066-X6108-Y38587_reg.swc,9540,890,2940
18469_7279-X7753-Y17170_reg.swc,9690,1360,2320
18469_7376-X7022-Y19051_reg.swc,10130,1220,2950
18864_5637-X5637-Y31619_reg.swc,8460,860,2480
18864_6139-X4843-Y27122_reg.swc,7470,820,2550
18864_6321-X4387-Y7047_reg.swc,7570,950,2310
18864_6345-X3603-Y9891_reg.swc,7580,520,3210
18864_6384-X3409-Y13059_reg.swc,7630,240,4250
18864_6523-X3601-Y10609_reg.swc,7830,430,3440
18864_6571-X4315-Y24999_reg.swc,8070,480,3260
18864_6631-X3319-Y22547_reg.swc,8050,250,4140
18864_6672-X3537-Y12829_reg.swc,8050,240,4160
18864_6734-X4899-Y27447_reg.swc,8340,820,2520
18864_6741-X4187-Y8695_reg.swc,8160,660,2810
18864_6805-X6340-Y4681_reg.swc,8420,1580,1540
18864_6821-X5144-Y6844_reg.swc,8350,1030,2180
18864_7078-X6476-Y5135_reg.swc,8860,1560,1680
18864_7117-X4611-Y9823_reg.swc,8770,590,3130
18864_7516-X6276-Y6366_reg.swc,9440,1400,2110
18868_6019-X9541-Y5296_reg.swc,7440,830,2530
18868_6405-X11428-Y4397_reg.swc,8060,490,3240
191807_6402-X3434-Y19231_reg.swc,7600,360,3720
191807_6423-X3900-Y9358_reg.swc,7570,590,3020
191807_6488-X3597-Y11254_reg.swc,7620,310,3930
191807_6489-X5135-Y23408_reg.swc,8020,1430,1660
191807_6504-X3953-Y21204_reg.swc,7840,680,2780
191807_6556-X3678-Y10670_reg.swc,7710,370,3640
191807_6625-X5034-Y23319_reg.swc,8210,1370,1730
191807_6718-X5217-Y7243_reg.swc,8270,1230,1900
191807_6735-X4456-Y21792_reg.swc,8280,850,2460
191807_6796-X5727-Y6613_reg.swc,8400,1540,1570
191807_6822-X4235-Y21316_reg.swc,8360,720,2730
191807_6836-X4405-Y10082_reg.swc,8230,490,3260
191807_6864-X4028-Y18389_reg.swc,8330,260,4090
191807_6909-X3717-Y18949_reg.swc,8340,310,3890
191807_6912-X3878-Y19387_reg.swc,8370,380,3660
191807_6920-X5119-Y8302_reg.swc,8600,950,2340
191807_6927-X3598-Y18516_reg.swc,8340,260,4100
191807_7017-X4048-Y11120_reg.swc,8400,330,3820
191807_7098-X4655-Y10334_reg.swc,8690,500,3340
191807_7110-X4076-Y20205_reg.swc,8680,510,3300
191807_7249-X4135-Y19813_reg.swc,8890,470,3500
191807_7281-X4351-Y20216_reg.swc,9000,570,3300
191807_7289-X4771-Y9549_reg.swc,8970,670,3030
191807_7300-X5089-Y9978_reg.swc,9070,660,3100
191807_7326-X5555-Y22776_reg.swc,9320,1400,2030
191807_7364-X7270-Y23865_reg.swc,9730,2340,1400
191807_7399-X8056-Y6157_reg.swc,9610,2590,1170
191807_7405-X4847-Y21105_reg.swc,9300,840,2850
191807_7423-X4013-Y19283_reg.swc,9120,420,3820
191807_7425-X7635-Y24763_reg.swc,9660,2680,1140
191807_7439-X5230-Y8737_reg.swc,9260,940,2630
191807_7446-X4048-Y18753_reg.swc,9190,390,4140
191807_7494-X6168-Y8596_reg.swc,9690,1320,2370
191807_7500-X4057-Y19214_reg.swc,9250,440,3890
191807_7508-X7743-Y23907_reg.swc,10230,2720,1590
191807_7525-X6122-Y8722_reg.swc,9730,1280,2450
191807_7529-X5296-Y9002_reg.swc,9420,920,2780
191807_7537-X7637-Y23814_reg.swc,10230,2650,1630
191807_7574-X4648-Y20365_reg.swc,9480,710,3290
191807_7612-X8075-Y6623_reg.swc,10060,2580,1460
191807_7712-X5701-Y8560_reg.swc,9640,1180,2530
191807_7779-X4433-Y18625_reg.swc,9730,650,4320
191807_7779-X6262-Y9318_reg.swc,10300,1500,2980
191807_7786-X4425-Y19023_reg.swc,9720,620,4090
191807_7802-X7356-Y7036_reg.swc,9980,2140,1730
191807_7822-X4840-Y19927_reg.swc,9950,820,3650
191807_7954-X5660-Y20932_reg.swc,10270,1400,3190
191807_7964-X7019-Y7647_reg.swc,10110,1910,2060
191807_7971-X7500-Y7211_reg.swc,10200,2240,1870
191807_7985-X5473-Y10063_reg.swc,10090,1000,3460
191807_8102-X5725-Y9586_reg.swc,10160,1170,3180
191807_8158-X7179-Y9304_reg.swc,10230,2210,3080
191812_5915-X3305-Y21307_reg.swc,7120,630,3050
191812_6207-X4040-Y8998_reg.swc,7380,670,2860
191812_6251-X3178-Y20913_reg.swc,7540,510,3240
191812_6426-X4032-Y23056_reg.swc,7810,1010,2190
191812_6431-X3967-Y9193_reg.swc,7690,610,2960
191812_6463-X3826-Y9703_reg.swc,7720,520,3190
191812_6476-X3744-Y9656_reg.swc,7760,520,3170
191812_6477-X4010-Y9201_reg.swc,7760,610,2960
191812_6568-X3828-Y8764_reg.swc,7920,660,2830
191812_6779-X4640-Y7603_reg.swc,8260,990,2230
191812_6854-X5676-Y6355_reg.swc,8400,1550,1560
191812_6895-X3630-Y9992_reg.swc,8360,470,3360
191812_7148-X3864-Y9658_reg.swc,8720,560,3200
191812_7255-X5228-Y7090_reg.swc,8940,1310,1960
191812_7321-X4084-Y22812_reg.swc,9060,1040,2370
191812_7379-X5715-Y24777_reg.swc,9180,2020,1410
191812_7414-X5193-Y24236_reg.swc,9240,1720,1680
191812_7460-X2919-Y19536_reg.swc,9270,430,4000
191812_7487-X5132-Y7313_reg.swc,9250,1290,2110
191812_7534-X5622-Y24592_reg.swc,9370,1990,1520
191812_7586-X4315-Y23900_reg.swc,9360,1440,2010
191812_7597-X5133-Y23993_reg.swc,9490,1710,1820
191812_7717-X6201-Y6443_reg.swc,9560,1920,1670
191812_7881-X7006-Y5915_reg.swc,9800,2390,1400
191812_7886-X4342-Y22754_reg.swc,9860,1330,2480
191812_7938-X6892-Y25312_reg.swc,9970,2900,1280
191812_7977-X5136-Y23324_reg.swc,10100,1770,2200
191812_7998-X5408-Y23691_reg.swc,10100,1940,2020
191812_8013-X7581-Y5690_reg.swc,10060,2880,1360
191812_8096-X5297-Y8332_reg.swc,10250,1530,2700
191812_8172-X4789-Y8339_reg.swc,10130,1330,2760
191812_8233-X6397-Y7234_reg.swc,10330,2220,2180
191812_8235-X5804-Y7784_reg.swc,10330,1900,2480
191812_8356-X5861-Y7841_reg.swc,10370,2010,2570
191813_6154-X4714-Y9350_reg.swc,7410,450,3490
191813_6215-X5154-Y8328_reg.swc,7540,610,2980
191813_6524-X2579-Y18950_reg.swc,7830,520,3180
191813_6588-X2661-Y18498_reg.swc,7920,460,3380
191813_6745-X2825-Y19481_reg.swc,8190,630,2870
191813_6829-x5209-y8545_reg.swc,8460,570,3090
191813_6871-x5237-y8478_reg.swc,8530,590,3050
191813_6879-X2723-Y19955_reg.swc,8380,740,2680
191813_7160-x2719-y18910_reg.swc,8750,570,3170
191813_7214-X4724-Y9812_reg.swc,9010,410,3820
191813_7224-X2864-Y17670_reg.swc,8870,380,3810
192337_6620-X4736-Y30611_reg.swc,8000,1410,1690
192337_6764-X4864-Y14655_reg.swc,8020,260,4120
192337_7344-X3850-Y25781_reg.swc,9030,560,3340
192337_7585-X7231-Y9932_reg.swc,9320,1170,2320
192337_7659-X5929-Y12351_reg.swc,9470,720,3240
192339_6660-X3904-Y20076_reg.swc,8740,580,3150
192339_6826-X4163-Y21198_reg.swc,8930,900,2540
192339_6840-X3817-Y19709_reg.swc,9050,570,3330
192339_7392-X6785-Y6440_reg.swc,9730,2470,1300
192340_6224-X4867-Y27176_reg.swc,7640,610,2980
192340_6365-X5976-Y13673_reg.swc,8040,310,3910
192341_6482-X3479-Y8069_reg.swc,8170,1080,2090
192341_6527-X4499-Y23282_reg.swc,7830,1720,1350
192341_7115-X3118-Y9770_reg.swc,9260,820,2860
192341_7303-X4923-Y6376_reg.swc,9350,2230,1320
192342_6838-X4850-Y2371_reg.swc,8140,1290,1810
192342_6941-X3482-Y21640_reg.swc,8240,640,2860
192342_8032-X5502-Y5809_reg.swc,9740,2470,1310
192342_8141-X6037-Y23548_reg.swc,10060,2050,1890
192343_5742-X3633-Y12817_reg.swc,6940,330,4230
192343_6777-X4052-Y23666_reg.swc,8400,950,2300
192343_7174-X3824-Y23571_reg.swc,8940,990,2380
192343_7524-X5744-Y25593_reg.swc,9280,2200,1310
192343_7862-X5206-Y6520_reg.swc,9600,2290,1380
192348_8164-X3381-Y21012_reg.swc,9340,690,3210
194065_6750-X3779-Y21393_reg.swc,8290,500,3240
194065_7154-X2800-Y12603_reg.swc,8860,310,4160
194069_6480-X4276-Y11858_reg.swc,7750,270,4080
194069_6614-X3338-Y19996_reg.swc,7770,420,3490
194069_6665-X4527-Y10686_reg.swc,8060,410,3500
194069_6771-X4023-Y23667_reg.swc,7980,1340,1760
194069_7166-X5939-Y8426_reg.swc,9040,1120,2240
194069_7189-X5459-Y8724_reg.swc,8970,920,2510
194069_7216-X3715-Y22464_reg.swc,8650,1020,2250
194069_7313-X3495-Y20668_reg.swc,8760,610,3080
194069_7382-X3692-Y22255_reg.swc,8900,1000,2350
194069_7406-X4443-Y11111_reg.swc,9170,430,3860
194069_7408-X5410-Y9170_reg.swc,9280,910,2720
194069_7499-X4635-Y10487_reg.swc,9310,560,3520
194069_7541-X6312-Y7823_reg.swc,9510,1480,2060
194069_7629-X6739-Y7566_reg.swc,9640,1720,1900
194069_7724-X4289-Y23661_reg.swc,9360,1680,1780
194069_7827-X3508-Y20244_reg.swc,9640,710,3450
194069_7890-X3746-Y21746_reg.swc,9630,1090,2650
194069_7949-X5085-Y10196_reg.swc,10100,1040,3530
194069_7960-X3680-Y21513_reg.swc,9720,1050,2790
194069_8027-X4187-Y22761_reg.swc,9780,1520,2200
194069_8053-X5370-Y24809_reg.swc,9730,2460,1310
194069_8063-X5880-Y9133_reg.swc,10300,1500,2960
194069_8151-X5946-Y25268_reg.swc,9830,2910,1160
194069_8220-X4330-Y22689_reg.swc,10060,1650,2280
194069_8231-X4410-Y22897_reg.swc,10050,1720,2180
194079_7452-X4416-Y23624_reg.swc,9350,1530,1910
194083_6175-X4064-Y8142_reg.swc,7620,900,2390
194083_6472-X2866-Y11440_reg.swc,8140,280,3970
194083_6690-X3219-Y11189_reg.swc,8430,330,3830
196476_6791-X3395-Y20868_reg.swc,8030,560,3070
196476_7159-x4408-y23171_reg.swc,8760,1250,1970
196476_7565-x3166-y19635_reg.swc,9130,420,3850
196476_7607-X3603-Y20075_reg.swc,9350,540,3590
196476_7824-x4173-y21243_reg.swc,9800,970,3020
196476_7922-X4174-Y21695_reg.swc,9890,1100,2860
196476_8116-X4425-Y9934_reg.swc,9650,940,2940
196476_8191-X6571-Y6695_reg.swc,9610,2290,1380
196476_8380-x4209-y10481_reg.swc,10120,1070,3460
201603_6288-X7138-Y5937_reg.swc,7910,820,2480
211541_5773-X16604-Y16219_reg.swc,6780,380,4030
211541_6633-X16017-Y16343_reg.swc,8160,250,4140
211541_6809-X4199-Y14576_reg.swc,8970,1890,1420
211541_7083-X17997-Y16517_reg.swc,8890,590,3180
211541_7198-X4422-Y13840_reg.swc,9440,2230,1360
211541_7381-X7249-Y16155_reg.swc,9820,1080,2840
211541_7397-X6860-Y15587_reg.swc,9930,1320,2550
211541_7408-X19719-Y16313_reg.swc,9280,1080,2420
211541_7642-X7572-Y16296_reg.swc,10210,1260,3150
211541_7867-X20439-Y14832_reg.swc,9910,1870,1940
211541_8004-X20499-Y15083_reg.swc,10120,1920,2070
211550_6674-X20158-Y16621_reg.swc,8070,740,2630
211550_6721-X20655-Y16337_reg.swc,8170,890,2380
211550_6742-X19175-Y17279_reg.swc,8090,510,3210
211550_7524-X21483-Y15565_reg.swc,9310,1350,2080
211550_7555-X20812-Y16162_reg.swc,9340,1060,2490
211550_7718-X19461-Y16950_reg.swc,9590,760,3270
211550_7772-X7691-Y18498_reg.swc,9090,880,2660
211550_7942-X7116-Y18251_reg.swc,9330,1120,2400
211796_6490-X17276-Y17066_reg.swc,8030,270,4030
211796_7238-X7037-Y16980_reg.swc,8980,1080,2260
211796_7334-X21168-Y15440_reg.swc,9400,1410,2070
211796_7385-X18532-Y16902_reg.swc,9420,580,3540
211796_7534-X18739-Y16699_reg.swc,9690,720,3470
220307_6913-X8802-Y21284_reg.swc,7450,370,3730
220307_7080-X19635-Y21599_reg.swc,7620,930,2330
220307_7098-X6694-Y19987_reg.swc,7880,790,2540
220307_7116-X8416-Y21177_reg.swc,7750,410,3540
220307_7229-X18109-Y21959_reg.swc,7850,540,3100
220307_7390-X9129-Y21344_reg.swc,8090,300,3920
220307_7919-X20996-Y20456_reg.swc,9230,1550,1840
220307_8198-X20188-Y20372_reg.swc,9670,1420,2230
220308_6054-X20031-Y16355_reg.swc,7080,530,3330
220308_6492-X9152-Y16947_reg.swc,7850,610,2950
220308_6541-X9681-Y17291_reg.swc,7900,490,3240
220308_6638-X10400-Y17315_reg.swc,8030,390,3580
220308_6660-X23024-Y15563_reg.swc,8030,1220,1890
220308_6702-X23195-Y15415_reg.swc,8080,1300,1800
220308_6723-X23664-Y14930_reg.swc,8110,1540,1530
220308_6761-X10353-Y16971_reg.swc,8230,410,3500
220308_7065-X21542-Y16233_reg.swc,8640,820,2580
220308_7099-X22371-Y15536_reg.swc,8720,1150,2090
220308_7209-X6269-Y16507_reg.swc,8810,1400,1820
220308_7210-X22027-Y15603_reg.swc,8900,1090,2230
220308_7775-X8240-Y16877_reg.swc,9650,1090,2680
220308_7820-X21073-Y15878_reg.swc,9990,1150,2870
220308_7875-X22200-Y14877_reg.swc,9990,1660,2200
220308_8021-X22273-Y14515_reg.swc,10370,2110,2410
220309_6744-X9496-Y18547_reg.swc,8350,330,3820
220315_6442-X7542-Y17434_reg.swc,7710,920,2330
